day,hour,count
1,17,2
1,9,2
1,11,2
1,22,2
1,19,2
1,18,2
1,8,1
1,10,1
1,14,1
1,15,1
1,16,1
1,20,1
1,21,1
2,20,3
2,9,3
2,12,2
2,21,2
2,7,1
2,8,1
2,10,1
2,11,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,22,1
3,10,4
3,9,3
3,15,3
3,16,3
3,17,3
3,18,3
3,20,3
3,21,3
3,19,2
3,14,2
3,13,2
3,12,2
3,8,2
3,7,2
3,11,1
3,22,1
4,10,4
4,8,3
4,13,3
4,14,3
4,15,3
4,16,3
4,20,3
4,19,3
4,7,2
4,17,2
4,12,2
4,11,2
4,18,2
4,22,2
4,21,2
4,9,1
5,21,3
5,20,3
5,16,3
5,14,3
5,13,3
5,9,3
5,11,2
5,10,2
5,7,2
5,8,2
5,19,2
5,18,2
5,17,2
5,22,1
5,15,1
5,12,1
6,20,5
6,19,4
6,21,3
6,17,3
6,16,3
6,15,3
6,12,3
6,11,3
6,10,3
6,18,2
6,14,2
6,13,2
6,9,2
6,22,2
6,8,2
6,7,2
7,12,4
7,9,4
7,19,4
7,17,4
7,15,4
7,8,3
7,22,3
7,21,3
7,16,3
7,18,3
7,20,3
7,14,3
7,7,2
7,11,2
7,13,1
8,10,4
8,7,4
8,9,4
8,14,3
8,21,3
8,12,3
8,11,3
8,8,3
8,15,2
8,16,2
8,17,2
8,18,2
8,22,2
8,19,1
8,20,1
8,23,1
8,13,1
9,16,3
9,8,3
9,9,3
9,11,3
9,18,3
9,20,3
9,7,2
9,10,2
9,13,2
9,14,2
9,15,2
9,17,2
9,19,2
9,22,2
9,12,1
9,21,1
10,10,4
10,17,4
10,20,4
10,15,3
10,9,3
10,13,3
10,16,3
10,12,2
10,14,2
10,19,2
10,21,2
10,22,2
10,11,2
10,7,2
10,8,2
10,18,1
11,17,4
11,11,4
11,15,4
11,14,3
11,12,3
11,20,3
11,8,2
11,9,2
11,10,2
11,16,2
11,18,2
11,19,2
11,22,2
11,21,2
11,7,1
11,13,1
12,20,4
12,15,3
12,9,3
12,16,3
12,17,3
12,18,3
12,19,3
12,7,2
12,8,2
12,10,2
12,12,2
12,11,2
12,14,2
12,21,2
12,22,2
12,13,1
13,16,4
13,19,4
13,9,4
13,8,3
13,12,3
13,14,3
13,13,3
13,15,3
13,20,3
13,21,2
13,22,2
13,17,2
13,18,2
13,7,2
13,10,2
13,11,2
14,20,4
14,15,4
14,19,4
14,14,3
14,9,2
14,22,2
14,7,2
14,8,2
14,21,2
14,10,2
14,11,2
14,16,2
14,18,2
14,17,2
14,12,1
14,13,1
15,10,5
15,14,3
15,15,3
15,17,3
15,18,3
15,19,3
15,21,3
15,16,3
15,20,2
15,12,2
15,7,2
15,8,2
15,11,2
15,9,2
15,13,1
15,22,1
16,20,4
16,9,3
16,10,3
16,14,3
16,16,3
16,18,3
16,21,3
16,19,2
16,7,2
16,8,2
16,11,2
16,15,1
16,12,1
16,13,1
16,17,1
16,22,1
17,13,5
17,17,5
17,19,4
17,22,3
17,20,3
17,10,3
17,14,3
17,15,3
17,11,2
17,12,2
17,16,2
17,7,2
17,21,2
17,8,2
17,9,1
17,23,1
18,11,4
18,20,4
18,18,4
18,17,4
18,14,3
18,15,3
18,22,3
18,9,3
18,12,3
18,7,2
18,10,2
18,13,2
18,16,2
18,19,2
18,21,2
18,8,1
19,21,4
19,8,3
19,9,3
19,11,3
19,15,3
19,18,3
19,22,2
19,16,2
19,17,2
19,19,2
19,20,2
19,13,2
19,10,2
19,12,2
19,7,2
19,14,1
20,20,4
20,9,4
20,10,3
20,12,3
20,16,3
20,17,3
20,18,3
20,22,3
20,15,2
20,21,2
20,8,2
20,19,2
20,11,2
20,13,2
20,7,1
20,14,1
21,20,5
21,17,4
21,18,4
21,8,3
21,12,3
21,15,3
21,19,3
21,14,2
21,9,2
21,10,2
21,13,2
21,11,2
21,7,1
21,16,1
21,21,1
21,22,1
21,23,1
22,21,2
22,9,2
22,15,1
22,7,1
22,10,1
22,11,1
22,12,1
22,13,1
22,14,1
22,16,1
22,17,1
22,18,1
22,19,1
22,20,1
23,10,2
23,15,2
23,19,1
23,20,1
23,21,1
23,22,1
23,18,1
23,17,1
23,16,1
23,13,1
23,7,1
23,8,1
23,9,1
23,11,1
23,12,1
24,19,2
24,21,2
24,22,2
24,14,2
24,11,2
24,18,2
24,7,1
24,8,1
24,9,1
24,10,1
24,12,1
24,15,1
24,16,1
24,17,1
24,20,1
25,22,4
25,19,3
25,11,2
25,14,2
25,21,1
25,23,1
25,20,1
25,18,1
25,17,1
25,7,1
25,8,1
25,9,1
25,10,1
25,12,1
25,13,1
25,15,1
25,16,1
26,17,3
26,20,3
26,9,2
26,10,2
26,21,2
26,19,2
26,18,1
26,15,1
26,7,1
26,13,1
26,8,1
26,14,1
26,11,1
26,12,1
26,16,1
27,15,3
27,21,2
27,11,2
27,20,2
27,13,2
27,18,2
27,10,2
27,9,2
27,22,1
27,12,1
27,8,1
27,19,1
27,14,1
27,17,1
27,7,1
27,16,1
28,14,2
28,7,1
28,8,1
28,10,1
28,9,1
28,11,1
28,12,1
28,13,1
28,15,1
28,16,1
28,17,1
28,18,1
28,19,1
28,20,1
28,21,1
28,22,1
29,7,2
29,19,2
29,22,1
29,8,1
29,10,1
29,11,1
29,12,1
29,13,1
29,14,1
29,15,1
29,16,1
29,17,1
29,18,1
29,20,1
29,21,1
30,21,2
30,15,2
30,22,1
30,10,1
30,11,1
30,12,1
30,13,1
30,14,1
30,16,1
30,17,1
30,18,1
30,19,1
30,20,1
30,9,1
30,8,1
30,7,1
31,19,3
31,20,2
31,12,2
31,14,2
31,7,1
31,8,1
31,9,1
31,10,1
31,11,1
31,13,1
31,15,1
31,16,1
31,17,1
31,18,1
31,21,1
31,22,1
