,post_id,post_text,time,comments,shares,reaction_count,media,day,hour
0,664681089201099,Việc tập thể dục sẽ làm chúng ta hít thở nhiều hơn đồng nghĩa cũng đưa nhiều không khí ô nhiễm vào bên trong cơ thể hơn.,2023-11-21 21:30:03,9,12,210,2,21,21
1,664712405864634,"ĐT Việt Nam đã rất nỗ lực nhưng ở những giây cuối cùng của trận đấu, Iraq đã có được bàn thắng",2023-11-21 20:59:47,169,12,2000,1,21,20
2,877487597381833,"🔴 [TRỰC TIẾP] MẤT NGỦ VÀ MỐI LIÊN HỆ VỚI CÁC BỆNH THẦN KINH NGUY HIỂM

💮 Giấc ngủ đóng vai trò quan trọng trong việc giúp cơ thể nghỉ ngơi, phục hồi và tái tạo năng lượng. Ngủ đủ giấc giúp cơ thể đảm bảo các hoạt động hàng ngày và giữ trạng thái tinh thần tốt. Mất ngủ kéo là yếu tố nguy cơ dẫn tới đột quỵ và nhiều nhiều bệnh lý nguy hiểm khác như rối loạn lo âu, suy giảm trí nhớ, nhồi máu cơ tim…

⚡ Mất ngủ nguyên nhân do đâu? Khi nào cần điều trị? Chẩn đoán chính xác mất ngủ qua những phương tiện gì? Giải pháp hiện đại nào giúp điều trị bệnh lý mất ngủ? Làm sao để phòng ngừa mất ngủ hiệu quả?

2 chuyên gia hàng đầu lĩnh vực Thần kinh tại BVĐK Tâm Anh Hà Nội đang tư vấn trực tuyến giúp quý vị…",2023-11-21 20:26:23,23,20,162,2,21,20
3,664681099201098,Ừ thì túi nilon tiêu thụ có giảm thật nhưng nguyên nhân của nó lại không đến từ sự thay đổi thói quen của người tiêu dùng.,2023-11-21 20:15:36,21,26,1100,2,21,20
4,664613759207832,"Tổng thống Mỹ Biden đón sinh nhật lần thứ 81 bằng chiếc bánh gato cắm rất nhiều nến và đang cháy rực.

""Cảm ơn tất cả lời chúc sinh nhật tốt đẹp của mọi người hôm nay. Hóa ra khi sinh nhật tới lần thứ 146, bạn sẽ không còn chỗ để thắp nến!"", Tổng thống Mỹ Joe Biden bông đùa trong bài đăng trên Instagram hôm 20/11, kèm ảnh ông chụp cạnh chiếc bánh sinh nhật với những ngọn nến đang cháy rực.

Tổng thống Biden bước sang tuổi 81 vào ngày 20/11. Ông gần đây thường đùa về tuổi tác của bản thân trong bối cảnh ngày càng có nhiều ý kiến lo ngại rằng ông đã quá lớn tuổi để làm tổng thống thêm một nhiệm kỳ nữa.

Hiện bức ảnh này đạt hơn 900 nghìn lượt ""tim"" và hơn 36.000 bình luận trên Instagram.",2023-11-21 19:30:02,15,13,1000,1,21,19
5,664610165874858,"Theo Viện Khoa học Pháp y Hàn Quốc, kết quả phân tích mẫu móng tay của G-Dragon cho thấy nam thần tượng âm tính với ma tuý. Đây cũng là xét nghiệm âm tính lần thứ ba kể từ khi cảnh sát bắt đầu cuộc điều tra vì nghi ngờ anh sử dụng ma tuý.

Ngay sau khi thông tin được đăng tải, cảnh sát Hàn Quốc đã vấp phải sự chỉ trích nặng nề và bị cho là nghi ngờ vô cớ. Nhiều khán giả cho rằng cảnh sát đã mở cuộc điều tra không cần thiết khi chỉ dựa vào lời khai của nhân vật A - quản lý cơ sở giải trí có tiền án tiền sự. Trước đó, A khai nhận rằng tìm thấy một tờ giấy gói đáng ngờ trong phòng vệ sinh nơi G-Dragon sử dụng.

Bất chấp ba lần xét nghiệm âm tính của G-Dragon, cảnh sát vẫn bảo vệ cuộc điều tra của mình. Cảnh sát cho biết việc không ghi nhận dấu vết của ma tuý không có nghĩa cuộc điều tra là không cần thiết hoặc vô lý.

Trong suốt quá trình điều tra, thành viên Big Bang liên tục phủ nhận sử dụng ma tuý. Thậm chí, trong buổi phỏng vấn với Yonhap News, ngôi sao K-Pop cũng tỏ ra vô cùng tự tin và khẳng định kết quả xét nghiệm chắc chắn sẽ âm tính.",2023-11-21 19:00:07,21,20,1100,1,21,19
6,664653279203880,Đội hình ra sân của ĐT Việt Nam.,2023-11-21 18:44:25,19,9,912,1,21,18
7,664605099208698,Xe máy mất lái lao xuống biển khiến 3 học sinh thương vong,2023-11-21 18:30:01,14,2,1200,1,21,18
8,664573282545213,"Ba Vì là địa điểm nghỉ ngơi hoàn hảo để tận hưởng không khí trong lành, mát mẻ quanh năm với vườn quốc gia Ba Vì, nhà thờ đổ Ba Vì ...",2023-11-21 18:00:45,7,11,174,2,21,18
9,664604489208759,"Ngày 21/11, Cơ quan CSĐT Công an TP Bà Rịa, tỉnh Bà Rịa - Vũng Tàu cho biết đã ra quyết định bắt giữ người trong trường hợp khẩn cấp đối với 2 tài xế liên quan vụ việc lái ô tô tông nhau nhiều lần trên đường, để điều tra về hành vi ""Cố ý làm hư hỏng tài sản"". Đồng thời, tiếp tục xác minh làm rõ các hành vi khác có liên quan.

Hai tài xế bị tạm giữ là Phan Hoàng Bích T (31 tuổi, trú huyện Long Thành, tỉnh Đồng Nai) và Nguyễn Đình K (41 tuổi, trú phường Phước Hiệp, TP Bà Rịa).

Trước đó vào tối 20/11, Công an TP Bà Rịa nhận được nguồn tin tại ngã tư đường Nguyễn Văn Linh - Nguyễn Hữu Thọ xảy ra vụ việc 2 xe ô tô tông nhau giữa giao lộ khiến nhiều người dân tụ tập theo dõi vụ việc gây mất an…",2023-11-21 17:30:02,11,7,542,1,21,17
